Symbol,WMA 89 Daily,WMA 89 Hourly,SMA Daily,SMA Hourly,,,,
IBULHSGFIN,Above,Above,Above,Above,,,,
MFSL,Above,Above,Above,Above,,,,
MUTHOOTFIN,Crossover,Above,Above,Above,,,,
SRTRANSFIN,Above,Above,Above,Above,,,,
ASHOKLEY,Above,Above,Above,Above,,,,
MINDTREE,Above,Above,Above,Crossover,,,,
BIOCON,Above,Above,Above,Above,,,,
JINDALSTEL,Above,Above,Above,Above,,,,
GMRINFRA,Above,Above,Above,Above,,,,
SBIN,Above,Above,Above,Above,,,,
PFC,Above,Above,Above,Above,,,,
ADANIENT,Above,Above,Above,Above,,,,
PEL,Above,Crossover,Above,Above,,,,
CADILAHC,Above,Above,Above,Above,,,,
MRF,Above,Above,Above,Above,,,,
APOLLOHOSP,Above,Above,Above,Above,,,,
ICICIPRULI,Above,Above,Above,Above,,,,
EQUITAS,Above,Below,Below,Above,,,,
MANAPPURAM,Above,Below,Below,Above,,,,
CHOLAFIN,Above,Below,Crossover,Above,,,,
RAMCOCEM,Above,Below,Below,Above,,,,
AXISBANK,Above,Below,Below,Above,,,,
ICICIBANK,Above,Below,Below,Above,,,,
BHARTIARTL,Above,Below,Below,Above,,,,
HCLTECH,Above,Below,Below,Above,,,,
JSWSTEEL,Above,Below,Below,Above,,,,
BALKRISIND,Above,Below,Below,Above,,,,
SRF,Above,Below,Below,Above,,,,
BATAINDIA,Above,Below,Below,Above,,,,
BAJFINANCE,Crossover,Below,Below,Above,,,,
ESCORTS,Above,Below,Below,Above,,,,
IGL,Above,Below,Below,Above,,,,
ASIANPAINT,Above,Crossover,Crossover,Crossover,,,,
PVR,Above,Above,Above,Above,,,,
HINDUNILVR,Crossover,Above,Above,Above,,,,
AMARAJABAT,Above,Above,Above,Above,,,,
NIITTECH,Above,Above,Above,Above,,,,
NESTLEIND,Above,Above,Above,Above,,,,
CENTURYTEX,Above,Above,Above,Above,,,,
TECHM,Above,Above,Above,Above,,,,
PIDILITIND,Above,Above,Above,Above,,,,
INDIGO,Above,Above,Above,Above,,,,
BERGEPAINT,Above,Above,Above,Above,,,,
VOLTAS,Above,Above,Above,Above,,,,
UJJIVAN,Above,Above,Above,Above,,,,
ULTRACEMCO,Above,Crossover,Above,Above,,,,
MCDOWELL-N,Above,Above,Above,Crossover,,,,
TORNTPOWER,Above,Above,Above,Above,,,,
KOTAKBANK,Crossover,Above,Above,Above,,,,
MGL,Above,Above,Above,Above,,,,
SUNTV,Above,Above,Above,Above,,,,
JUBLFOOD,Above,Above,Above,Above,,,,
DIVISLAB,Above,Above,Above,Above,,,,
DRREDDY,Above,Above,Above,Above,,,,
TATAGLOBAL,Above,Above,Above,Above,,,,
SHREECEM,Above,Above,Above,Crossunder,,,,
TITAN,Above,Above,Above,Above,,,,
BAJAJFINSV,Above,Above,Above,Above,,,,
INFY,Above,Above,Above,Above,,,,
